timestamp	frame_idx	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_pos_vid_x	gaze_pos_vid_y	gaze_pos_3d_x	gaze_pos_3d_y	gaze_pos_3d_z
-229.87200000	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-219.88000000	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-209.88800000	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-199.89600000	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-189.90300000	7	-0.02380000	0.13620000	0.99040000	29.17000000	-25.20000000	-29.23000000	2.41000000	0.02210000	0.12500000	0.99190000	-30.15000000	-21.48000000	-26.45000000	2.60000000	984.76800000	419.04000000	-1.59000000	137.73000000	1194.57000000
-179.90700000	7	-0.02510000	0.12820000	0.99140000	29.25000000	-25.02000000	-29.33000000	2.41000000	0.02340000	0.13260000	0.99090000	-30.12000000	-21.68000000	-26.53000000	2.54000000	984.76800000	419.58000000	-1.46000000	134.39000000	1171.23000000
-169.92300000	7	-0.02450000	0.13550000	0.99050000	29.17000000	-25.19000000	-29.25000000	2.41000000	0.02280000	0.12480000	0.99190000	-30.14000000	-21.49000000	-26.45000000	2.60000000	984.96000000	419.90400000	-1.59000000	133.66000000	1167.68000000
-159.93200000	8	-0.02550000	0.12730000	0.99150000	29.25000000	-25.02000000	-29.33000000	2.41000000	0.02290000	0.13220000	0.99100000	-30.12000000	-21.68000000	-26.52000000	2.55000000	985.34400000	420.44400000	-2.05000000	133.29000000	1168.45000000
-149.93600000	8	-0.02500000	0.13560000	0.99040000	29.16000000	-25.20000000	-29.25000000	2.41000000	0.02080000	0.12250000	0.99230000	-30.14000000	-21.50000000	-26.44000000	2.59000000	986.30400000	421.20000000	-3.06000000	133.20000000	1174.82000000
-139.91100000	8	-0.02640000	0.12700000	0.99150000	29.25000000	-25.02000000	-29.33000000	2.42000000	0.02200000	0.13160000	0.99110000	-30.12000000	-21.69000000	-26.51000000	2.55000000	986.30400000	420.87600000	-3.10000000	133.09000000	1171.47000000
-129.92300000	8	-0.02560000	0.13550000	0.99050000	29.16000000	-25.20000000	-29.25000000	2.41000000	0.02150000	0.12360000	0.99210000	-30.14000000	-21.50000000	-26.43000000	2.60000000	986.30400000	420.87600000	-2.96000000	131.82000000	1159.67000000
-119.93300000	9	-0.02720000	0.12650000	0.99160000	29.25000000	-25.03000000	-29.33000000	2.43000000	0.02220000	0.13170000	0.99100000	-30.12000000	-21.69000000	-26.50000000	2.55000000	986.68800000	421.74000000	-3.41000000	129.03000000	1142.47000000
-109.94100000	9	-0.02600000	0.13540000	0.99050000	29.16000000	-25.21000000	-29.24000000	2.42000000	0.02010000	0.12150000	0.99240000	-30.14000000	-21.50000000	-26.42000000	2.59000000	987.26400000	422.17200000	-4.09000000	130.36000000	1158.87000000
-99.94400000	9	-0.02380000	0.12770000	0.99150000	29.25000000	-25.03000000	-29.33000000	2.43000000	0.02180000	0.13100000	0.99120000	-30.12000000	-21.69000000	-26.50000000	2.55000000	986.88000000	421.74000000	-3.59000000	131.47000000	1164.81000000
-89.95900000	9	-0.02880000	0.13430000	0.99050000	29.16000000	-25.21000000	-29.24000000	2.41000000	0.02130000	0.12290000	0.99220000	-30.14000000	-21.50000000	-26.42000000	2.60000000	986.30400000	421.30800000	-3.05000000	131.93000000	1164.76000000
-79.96600000	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-69.97300000	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-59.98000000	10	-0.02680000	0.12730000	0.99150000	29.25000000	-25.03000000	-29.33000000	2.43000000	0.02280000	0.13180000	0.99100000	-30.11000000	-21.69000000	-26.50000000	2.55000000	986.11200000	421.09200000	-2.87000000	129.71000000	1143.33000000
-49.99200000	10	-0.02510000	0.13650000	0.99030000	29.16000000	-25.22000000	-29.23000000	2.41000000	0.02060000	0.12200000	0.99230000	-30.14000000	-21.50000000	-26.42000000	2.59000000	986.49600000	421.20000000	-3.25000000	131.38000000	1158.66000000
-40.00000000	10	-0.02670000	0.12790000	0.99140000	29.25000000	-25.03000000	-29.33000000	2.42000000	0.02230000	0.13100000	0.99110000	-30.11000000	-21.69000000	-26.50000000	2.55000000	986.30400000	420.87600000	-3.12000000	132.31000000	1163.84000000
-30.00400000	11	-0.02440000	0.13720000	0.99020000	29.16000000	-25.21000000	-29.23000000	2.41000000	0.02110000	0.12290000	0.99220000	-30.13000000	-21.50000000	-26.42000000	2.60000000	985.72800000	420.01200000	-2.55000000	133.54000000	1167.64000000
-19.98000000	11	-0.02600000	0.12840000	0.99140000	29.25000000	-25.03000000	-29.33000000	2.42000000	0.02260000	0.13140000	0.99110000	-30.11000000	-21.68000000	-26.49000000	2.55000000	985.72800000	420.22800000	-2.51000000	134.10000000	1173.96000000
-9.99600000	11	-0.02370000	0.13730000	0.99020000	29.16000000	-25.20000000	-29.24000000	2.41000000	0.01980000	0.12160000	0.99240000	-30.13000000	-21.49000000	-26.42000000	2.59000000	986.11200000	420.44400000	-2.93000000	135.51000000	1188.63000000
-0.00100000	11	-0.02560000	0.12900000	0.99130000	29.25000000	-25.02000000	-29.33000000	2.42000000	0.02170000	0.13110000	0.99110000	-30.10000000	-21.68000000	-26.49000000	2.55000000	986.11200000	419.36400000	-2.87000000	139.20000000	1210.98000000
9.99100000	12	-0.02320000	0.13800000	0.99020000	29.16000000	-25.20000000	-29.24000000	2.41000000	0.02110000	0.12430000	0.99200000	-30.13000000	-21.49000000	-26.42000000	2.60000000	985.15200000	418.17600000	-1.87000000	139.57000000	1203.24000000
19.98700000	12	-0.02180000	0.13250000	0.99090000	29.25000000	-25.02000000	-29.34000000	2.42000000	0.02250000	0.13210000	0.99100000	-30.10000000	-21.68000000	-26.49000000	2.55000000	985.34400000	418.39200000	-2.18000000	138.87000000	1199.22000000
29.97100000	12	-0.02690000	0.13630000	0.99030000	29.17000000	-25.20000000	-29.24000000	2.41000000	0.02000000	0.12300000	0.99220000	-30.13000000	-21.49000000	-26.41000000	2.60000000	985.72800000	418.71600000	-2.54000000	138.26000000	1196.57000000
39.96500000	12	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
49.95900000	13	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59.95300000	13	-0.02540000	0.13020000	0.99120000	29.25000000	-25.02000000	-29.33000000	2.42000000	0.02150000	0.13150000	0.99110000	-30.10000000	-21.68000000	-26.49000000	2.55000000	986.11200000	418.28400000	-2.91000000	141.59000000	1221.33000000
69.94200000	13	-0.02310000	0.13840000	0.99010000	29.16000000	-25.19000000	-29.24000000	2.41000000	0.01910000	0.12240000	0.99230000	-30.13000000	-21.50000000	-26.41000000	2.60000000	986.30400000	419.04000000	-3.06000000	139.73000000	1211.89000000
79.93200000	13	-0.02570000	0.13000000	0.99120000	29.25000000	-25.01000000	-29.33000000	2.43000000	0.02140000	0.13080000	0.99120000	-30.10000000	-21.68000000	-26.49000000	2.55000000	986.30400000	418.82400000	-3.18000000	140.71000000	1219.26000000
89.92400000	14	-0.02370000	0.13790000	0.99020000	29.16000000	-25.19000000	-29.24000000	2.42000000	0.01970000	0.12350000	0.99220000	-30.13000000	-21.50000000	-26.41000000	2.60000000	986.11200000	418.60800000	-3.01000000	140.23000000	1212.88000000
99.92000000	14	-0.02630000	0.12990000	0.99120000	29.24000000	-25.02000000	-29.33000000	2.43000000	0.02140000	0.13140000	0.99110000	-30.10000000	-21.68000000	-26.49000000	2.55000000	986.68800000	418.82400000	-3.49000000	138.59000000	1200.82000000
109.93500000	14	-0.02430000	0.13820000	0.99010000	29.16000000	-25.19000000	-29.24000000	2.42000000	0.01940000	0.12300000	0.99220000	-30.13000000	-21.50000000	-26.41000000	2.60000000	986.68800000	419.04000000	-3.50000000	137.54000000	1193.21000000
119.93100000	14	-0.02620000	0.12970000	0.99120000	29.25000000	-25.02000000	-29.34000000	2.42000000	0.02170000	0.13100000	0.99110000	-30.10000000	-21.68000000	-26.49000000	2.55000000	986.30400000	419.25600000	-3.22000000	137.59000000	1195.87000000
129.92200000	15	-0.02420000	0.13760000	0.99020000	29.16000000	-25.19000000	-29.24000000	2.41000000	0.01990000	0.12290000	0.99220000	-30.14000000	-21.50000000	-26.41000000	2.60000000	986.49600000	419.47200000	-3.21000000	136.86000000	1191.61000000
139.91400000	15	-0.02680000	0.12950000	0.99120000	29.25000000	-25.02000000	-29.34000000	2.42000000	0.02220000	0.13120000	0.99110000	-30.10000000	-21.69000000	-26.49000000	2.55000000	986.49600000	419.68800000	-3.26000000	134.13000000	1169.41000000
149.90300000	15	-0.02520000	0.13780000	0.99010000	29.17000000	-25.19000000	-29.24000000	2.41000000	0.02020000	0.12270000	0.99220000	-30.14000000	-21.50000000	-26.41000000	2.60000000	986.68800000	420.01200000	-3.51000000	132.48000000	1157.80000000
159.89600000	15	-0.02710000	0.12960000	0.99120000	29.25000000	-25.02000000	-29.34000000	2.42000000	0.02240000	0.13150000	0.99110000	-30.11000000	-21.69000000	-26.49000000	2.55000000	986.49600000	419.68800000	-3.27000000	132.39000000	1154.63000000
169.89100000	16	-0.02600000	0.13720000	0.99020000	29.17000000	-25.20000000	-29.24000000	2.41000000	0.02210000	0.12470000	0.99190000	-30.14000000	-21.50000000	-26.41000000	2.62000000	986.11200000	419.58000000	-2.79000000	129.76000000	1130.82000000
179.88200000	16	-0.02730000	0.12890000	0.99130000	29.25000000	-25.02000000	-29.34000000	2.42000000	0.02340000	0.13310000	0.99080000	-30.11000000	-21.69000000	-26.49000000	2.56000000	986.11200000	419.79600000	-2.73000000	128.26000000	1119.05000000
189.86700000	16	-0.02630000	0.13670000	0.99030000	29.17000000	-25.20000000	-29.24000000	2.41000000	0.02280000	0.12570000	0.99180000	-30.14000000	-21.50000000	-26.42000000	2.62000000	985.92000000	419.36400000	-2.59000000	129.34000000	1125.33000000
199.86200000	16	-0.02670000	0.12900000	0.99130000	29.25000000	-25.02000000	-29.34000000	2.42000000	0.02380000	0.13350000	0.99080000	-30.11000000	-21.69000000	-26.50000000	2.56000000	985.53600000	419.36400000	-2.17000000	129.19000000	1123.44000000
209.85600000	17	-0.02610000	0.13670000	0.99030000	29.17000000	-25.19000000	-29.24000000	2.41000000	0.02370000	0.12610000	0.99170000	-30.14000000	-21.50000000	-26.42000000	2.62000000	985.34400000	419.47200000	-1.95000000	128.00000000	1113.90000000
219.85200000	17	-0.02660000	0.12860000	0.99130000	29.25000000	-25.02000000	-29.34000000	2.43000000	0.02430000	0.13440000	0.99060000	-30.11000000	-21.68000000	-26.50000000	2.57000000	985.15200000	419.36400000	-1.81000000	127.31000000	1107.12000000
229.83500000	17	-0.02600000	0.13670000	0.99030000	29.17000000	-25.19000000	-29.25000000	2.41000000	0.02360000	0.12620000	0.99170000	-30.14000000	-21.49000000	-26.43000000	2.62000000	985.34400000	419.25600000	-1.91000000	128.43000000	1116.61000000
239.85700000	17	-0.02640000	0.12790000	0.99140000	29.25000000	-25.01000000	-29.34000000	2.43000000	0.02320000	0.13340000	0.99080000	-30.11000000	-21.68000000	-26.51000000	2.56000000	985.72800000	419.79600000	-2.36000000	130.42000000	1138.41000000
249.85200000	18	-0.02570000	0.13570000	0.99040000	29.16000000	-25.19000000	-29.25000000	2.41000000	0.02290000	0.12500000	0.99190000	-30.14000000	-21.49000000	-26.43000000	2.62000000	985.53600000	420.22800000	-2.22000000	130.08000000	1138.77000000
259.84600000	18	-0.02640000	0.12760000	0.99150000	29.25000000	-25.01000000	-29.35000000	2.43000000	0.02350000	0.13310000	0.99080000	-30.11000000	-21.68000000	-26.51000000	2.56000000	985.53600000	420.33600000	-2.17000000	129.02000000	1130.77000000
