frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
42	31.93800000	0.23800000	-20.29900000	-0.03270000	-0.17300000	0.98440000	-30.98800000	2.43600000	-21.24900000	0.01280000	-0.20950000	0.97770000	647.86000000	522.12000000	622.37000000	348.80000000	662.64000000	395.55000000
43	31.93800000	0.23800000	-20.29900000	-0.03410000	-0.17290000	0.98440000	-30.98800000	2.43600000	-21.24900000	0.01400000	-0.21060000	0.97750000	647.95000000	523.56000000	623.99000000	348.74000000	661.19000000	396.82000000
44	31.93800000	0.23900000	-20.30000000	-0.03380000	-0.17310000	0.98430000	-30.98800000	2.43700000	-21.24900000	0.01380000	-0.21060000	0.97750000	647.86000000	523.48000000	623.60000000	348.95000000	661.40000000	396.78000000
44	31.93800000	0.23900000	-20.30000000	-0.03290000	-0.17460000	0.98410000	-30.98800000	2.43700000	-21.24900000	0.01340000	-0.21050000	0.97750000	647.67000000	523.47000000	622.67000000	350.73000000	661.96000000	396.70000000
45	31.93800000	0.23900000	-20.30000000	-0.02930000	-0.17640000	0.98390000	-30.98800000	2.43700000	-21.24900000	0.01390000	-0.21100000	0.97740000	645.23000000	523.87000000	618.35000000	352.92000000	661.37000000	397.28000000
46	31.93800000	0.24000000	-20.30000000	-0.03220000	-0.17050000	0.98480000	-30.98800000	2.43800000	-21.24900000	0.01410000	-0.21160000	0.97730000	646.75000000	524.22000000	621.70000000	345.83000000	661.07000000	398.02000000
47	31.93800000	0.24000000	-20.30000000	-0.03100000	-0.16100000	0.98650000	-30.98800000	2.43800000	-21.25000000	0.01330000	-0.21180000	0.97720000	646.48000000	524.33000000	620.25000000	334.58000000	662.00000000	398.20000000
48	31.93800000	0.24000000	-20.30000000	-0.02820000	-0.16010000	0.98670000	-30.98800000	2.43800000	-21.25000000	0.01350000	-0.21150000	0.97730000	644.69000000	524.42000000	616.94000000	333.45000000	661.78000000	397.94000000
48	31.93800000	0.24000000	-20.30100000	-0.02670000	-0.16440000	0.98600000	-30.98800000	2.43800000	-21.25000000	0.01300000	-0.21070000	0.97750000	644.16000000	523.09000000	615.19000000	338.67000000	662.45000000	396.91000000
49	31.93800000	0.24100000	-20.30100000	-0.03310000	-0.17700000	0.98370000	-30.98800000	2.43800000	-21.25000000	0.01320000	-0.21080000	0.97740000	647.87000000	524.13000000	622.86000000	353.57000000	662.17000000	397.03000000
50	31.93800000	0.24100000	-20.30100000	-0.03160000	-0.18080000	0.98300000	-30.98800000	2.43800000	-21.25000000	0.01440000	-0.21020000	0.97760000	646.31000000	524.29000000	621.18000000	358.11000000	660.71000000	396.38000000
51	31.93800000	0.24100000	-20.30100000	-0.03170000	-0.17440000	0.98420000	-30.98800000	2.43800000	-21.25000000	0.01570000	-0.20880000	0.97780000	645.61000000	521.82000000	621.22000000	350.45000000	659.26000000	394.70000000
51	31.93800000	0.24100000	-20.30100000	0.01610000	-0.13090000	0.99130000	-30.98800000	2.43800000	-21.25000000	0.08870000	-0.11770000	0.98910000	574.00000000	443.12000000	564.20000000	298.84000000	573.05000000	286.31000000
52	31.93800000	0.24100000	-20.30100000	0.04070000	-0.11720000	0.99230000	-30.98800000	2.43800000	-21.25000000	0.10740000	-0.09550000	0.98960000	548.16000000	421.79000000	534.81000000	282.46000000	550.52000000	259.56000000
53	31.93700000	0.24000000	-20.30200000	0.04650000	-0.11780000	0.99200000	-30.98800000	2.43800000	-21.25000000	0.10470000	-0.09500000	0.99000000	546.74000000	420.21000000	527.94000000	283.16000000	553.79000000	258.96000000
54	31.93700000	0.24000000	-20.30200000	0.04650000	-0.11430000	0.99240000	-30.98800000	2.43800000	-21.25000000	0.10370000	-0.08840000	0.99070000	547.17000000	414.68000000	527.87000000	278.96000000	554.95000000	250.99000000
