eye_tracker,participant_id,trial_number,trial_condition,std,n_samples
Pupil Core,141,3,dark,1.8492676502444532,729
Pupil Core,141,4,bright,0.3788744482017081,777
Pupil Core,141,5,dark,0.2853421776949023,910
Pupil Core,141,6,bright,0.42432869872798706,901
Pupil Core,199,1,dark,0.5156195654459593,713
Pupil Core,199,2,bright,0.4373140872882763,795
Pupil Core,199,3,dark,0.21237306194560798,803
Pupil Core,199,4,bright,0.45628284410375397,820
Pupil Core,199,5,dark,0.3550858854112495,865
Pupil Core,199,6,bright,0.3922435005331773,879
Pupil Core,210,1,dark,0.4671662854609059,722
Pupil Core,210,2,bright,0.7860364862982402,514
Pupil Core,210,3,dark,0.5685874378917792,751
Pupil Core,210,4,bright,0.6950964234857575,769
Pupil Core,210,5,dark,0.9666245353633618,620
Pupil Core,210,6,bright,0.684651038090458,856
Pupil Core,231,1,dark,0.4766626220585184,921
Pupil Core,231,2,bright,0.4057418671121222,920
Pupil Core,231,3,dark,0.35935960828246905,884
Pupil Core,231,4,bright,0.6290860837821757,916
Pupil Core,231,5,dark,0.5520071320640388,924
Pupil Core,231,6,bright,0.479751540088973,916
Pupil Core,259,1,dark,0.3533960487207815,896
Pupil Core,259,2,bright,0.5597990337070767,917
Pupil Core,259,3,dark,0.33857595533768103,917
Pupil Core,259,4,bright,0.6210801135471448,917
Pupil Core,259,5,dark,0.5025788720371912,916
Pupil Core,259,6,bright,0.6878853937909887,917
Pupil Core,276,1,dark,0.9659739635406801,921
Pupil Core,276,2,bright,0.6728385605780008,928
Pupil Core,276,3,dark,2.3752548163947584,684
Pupil Core,276,4,bright,0.8756276301865429,907
Pupil Core,276,5,dark,0.8758419839726349,917
Pupil Core,276,6,bright,0.6227484738354213,906
Pupil Core,299,1,dark,0.9780503729715545,759
Pupil Core,299,2,bright,0.6549500560922601,860
Pupil Core,299,3,dark,0.5001296452876358,903
Pupil Core,299,4,bright,0.655145518214159,911
Pupil Core,299,5,dark,0.5848277414332421,906
Pupil Core,299,6,bright,0.6014150751715743,895
Pupil Core,319,1,dark,0.2712717980760945,857
Pupil Core,319,2,bright,0.49383329974856366,908
Pupil Core,319,3,dark,0.8260649216468657,868
Pupil Core,319,4,bright,0.40572595421269375,918
Pupil Core,319,5,dark,0.7780829688258484,917
Pupil Core,319,6,bright,0.6061476483229993,917
Pupil Core,332,1,dark,0.6795540058990571,911
Pupil Core,332,2,bright,0.912229858151287,912
Pupil Core,332,3,dark,0.35312534845466464,462
Pupil Core,332,4,bright,0.9039407174793215,921
Pupil Core,332,5,dark,0.528279578458834,908
Pupil Core,332,6,bright,1.0632603147686366,903
Pupil Core,347,1,dark,0.9269058313483189,837
Pupil Core,347,2,bright,0.9279109415765631,644
Pupil Core,347,3,dark,0.9240274634005381,878
Pupil Core,347,4,bright,0.41818368163856595,918
Pupil Core,347,5,dark,1.3569570254245449,655
Pupil Core,347,6,bright,2.168145863674687,334
Pupil Core,352,1,dark,0.7689827358966455,612
Pupil Core,352,2,bright,0.654500152924419,924
Pupil Core,352,3,dark,0.7070735154627712,514
Pupil Core,352,4,bright,0.49252108808804124,910
Pupil Core,352,5,dark,1.125733891057271,886
Pupil Core,352,6,bright,1.619864951036237,930
Pupil Core,354,1,dark,0.4524767505895776,641
Pupil Core,354,2,bright,0.9578347502875563,658
Pupil Core,354,3,dark,0.6665548216409759,682
Pupil Core,354,4,bright,0.5981127057572628,764
Pupil Core,354,5,dark,0.9040030815634568,829
Pupil Core,354,6,bright,1.1241932580110972,893
Pupil Core,375,1,dark,0.5460043134613671,916
Pupil Core,375,2,bright,0.561527171114969,876
Pupil Core,375,3,dark,0.2805415745237104,907
Pupil Core,375,4,bright,0.32545013922933475,922
Pupil Core,375,5,dark,0.32468915025116646,895
Pupil Core,375,6,bright,0.510222823982636,875
Pupil Core,397,1,dark,0.312672388842576,896
Pupil Core,397,2,bright,0.673406569483783,882
Pupil Core,397,3,dark,0.3712014388855586,891
Pupil Core,397,4,bright,0.7290814987958276,902
Pupil Core,397,5,dark,0.383797548131517,903
Pupil Core,397,6,bright,0.6666869219020515,923
Pupil Core,406,1,dark,0.26774452643904356,894
Pupil Core,406,2,bright,0.7521699654138297,874
Pupil Core,406,3,dark,0.34778870773660836,915
Pupil Core,406,4,bright,0.8266224834684643,890
Pupil Core,406,5,dark,0.33836589942828876,917
Pupil Core,406,6,bright,0.7349273030572694,907
Pupil Core,460,1,dark,0.24470012814012143,874
Pupil Core,460,2,bright,0.7351135929185141,897
Pupil Core,460,3,dark,0.4128673467691236,914
Pupil Core,460,4,bright,1.0251053066526425,911
Pupil Core,460,5,dark,0.38656238370469587,916
Pupil Core,460,6,bright,0.5960307118179948,910
Pupil Core,503,1,dark,0.41596677822086014,912
