eye_tracker,participant_id,trial_number,trial_condition,accuracy,n_samples
Pupil Core,299,5,dark,5.311585879743609,906
Pupil Core,299,6,bright,2.6204645931150083,895
Pupil Core,319,1,dark,0.5756041837863198,857
Pupil Core,319,2,bright,2.1560465507742763,908
Pupil Core,319,3,dark,1.786399170241388,868
Pupil Core,319,4,bright,2.8613437051235717,918
Pupil Core,319,5,dark,3.4932970113037145,917
Pupil Core,319,6,bright,3.0515738688898164,917
Pupil Core,332,1,dark,2.148242819287702,911
Pupil Core,332,2,bright,3.7092530144090405,912
Pupil Core,332,3,dark,0.803919855966727,462
Pupil Core,332,4,bright,1.7440392030419303,921
Pupil Core,332,5,dark,1.6284645041458063,908
Pupil Core,332,6,bright,2.1169304439818846,903
Pupil Core,347,1,dark,4.258798515870454,837
Pupil Core,347,2,bright,1.422701502422047,644
Pupil Core,347,3,dark,4.375008322616889,878
Pupil Core,347,4,bright,0.9117812455773957,918
Pupil Core,347,5,dark,4.0421167907612245,655
Pupil Core,347,6,bright,2.6065816040353256,334
Pupil Core,352,1,dark,6.049628626904003,612
Pupil Core,352,2,bright,1.451369911470438,924
Pupil Core,352,3,dark,5.929084482592858,514
Pupil Core,352,4,bright,0.9998770072763976,910
Pupil Core,352,5,dark,4.146509552446176,886
Pupil Core,352,6,bright,2.9710371846330172,930
Pupil Core,354,1,dark,4.265555357024495,641
Pupil Core,354,2,bright,1.664625011543471,658
Pupil Core,354,3,dark,3.8508168730038927,682
Pupil Core,354,4,bright,1.5466435940177485,764
Pupil Core,354,5,dark,3.8742124110766545,829
Pupil Core,354,6,bright,3.359036887425336,893
Pupil Core,375,1,dark,2.5253721526367636,916
Pupil Core,375,2,bright,1.2187615233037672,876
Pupil Core,375,3,dark,2.4161607777693743,907
Pupil Core,375,4,bright,0.7373865986532004,922
Pupil Core,375,5,dark,1.7325495735575864,895
Pupil Core,375,6,bright,0.9594860563531118,875
Pupil Core,397,1,dark,3.523135462293657,896
Pupil Core,397,2,bright,1.614491275543502,882
Pupil Core,397,3,dark,2.747807378767029,891
Pupil Core,397,4,bright,2.3528374019856666,902
Pupil Core,397,5,dark,2.522466301518894,903
Pupil Core,397,6,bright,1.3816831076412803,923
Pupil Core,406,1,dark,2.2290575681829274,894
Pupil Core,406,2,bright,3.0628839104999837,874
Pupil Core,406,3,dark,1.316967865244385,915
Pupil Core,406,4,bright,3.1616905481369653,890
Pupil Core,406,5,dark,1.6373825672887532,917
Pupil Core,406,6,bright,3.7193241291994568,907
Pupil Core,460,1,dark,2.3419630232859805,874
Pupil Core,460,2,bright,1.8569603698844661,897
Pupil Core,460,3,dark,2.5597847585627456,914
Pupil Core,460,4,bright,2.164876007896801,911
Pupil Core,460,5,dark,2.670685098145829,916
Pupil Core,460,6,bright,2.454918781142355,910
Pupil Core,503,1,dark,1.545895927843264,912
Pupil Core,503,2,bright,1.2401720077779863,896
Pupil Core,503,3,dark,1.1963635698922315,923
Pupil Core,503,4,bright,1.4657276170369926,912
Pupil Core,503,5,dark,0.9437001575453826,924
Pupil Core,503,6,bright,1.8106053110349773,903
Pupil Core,695,1,dark,1.6783738214020523,924
Pupil Core,695,2,bright,0.972753258433585,928
Pupil Core,695,3,dark,1.9504634087996209,923
Pupil Core,695,4,bright,0.8929368883564562,935
Pupil Core,695,5,dark,1.8501670063046751,930
Pupil Core,695,6,bright,1.1353791175947934,927
Pupil Core,772,1,dark,6.593133770053401,880
Pupil Core,772,2,bright,1.8029469069766038,892
Pupil Core,772,3,dark,7.304615778696175,918
Pupil Core,772,4,bright,1.9901678598599135,911
Pupil Core,772,5,dark,6.964958200603214,917
Pupil Core,772,6,bright,2.1671069580354243,907
Pupil Core,796,1,dark,2.8411601802732407,883
Pupil Core,796,2,bright,0.7105750132640557,873
Pupil Core,796,3,dark,1.8750498418407489,919
Pupil Core,796,4,bright,0.8594703897325329,905
Pupil Core,796,5,dark,1.992664733118908,904
Pupil Core,796,6,bright,1.1841748100875176,901
Pupil Core,844,1,dark,2.1955158200369835,917
Pupil Core,844,2,bright,1.0167786140966193,910
Pupil Core,844,3,dark,1.0643952440289017,911
Pupil Core,844,4,bright,1.4758952924187816,907
Pupil Core,844,5,dark,1.4736722828024933,890
Pupil Core,844,6,bright,2.009599865795886,911
Pupil Core,875,1,dark,3.9445730574151607,888
Pupil Core,875,2,bright,3.0952898558541073,881
Pupil Core,875,3,dark,4.972906316996663,910
Pupil Core,875,4,bright,2.6681458813606036,899
Pupil Core,875,5,dark,4.8064289057456975,904
Pupil Core,875,6,bright,2.2695521625158466,836
Pupil Core,914,1,dark,1.234713916988517,930
Pupil Core,914,2,bright,1.0614651183877692,930
Pupil Core,914,3,dark,2.3094724107903764,919
Pupil Core,914,4,bright,1.0081630892659266,936
Pupil Core,914,5,dark,0.9882103766622108,925
Pupil Core,914,6,bright,1.3826436840218512,929
Pupil Neon,137,1,dark,3.5769014228457148,739
Pupil Neon,137,2,bright,1.465032784191674,736
Pupil Neon,137,3,dark,3.4324785236651656,739
Pupil Neon,137,4,bright,1.7315750951734747,700
Pupil Neon,137,5,dark,3.7631254147271815,738
Pupil Neon,137,6,bright,2.297670330400147,746
Pupil Neon,141,1,dark,1.0654414965072367,709
Pupil Neon,141,2,bright,1.7785422348333166,697
Pupil Neon,141,3,dark,1.368077238479417,717
Pupil Neon,141,4,bright,1.4099613677193639,731
Pupil Neon,141,5,dark,1.0445629058641983,744
Pupil Neon,141,6,bright,3.6652520912051814,738
Pupil Neon,199,1,dark,0.6601553914337118,737
Pupil Neon,199,2,bright,1.0675777861897797,724
Pupil Neon,199,3,dark,0.4711782756954215,745
Pupil Neon,199,4,bright,1.2248671025071283,738
Pupil Neon,199,5,dark,0.8467092122747958,738
Pupil Neon,199,6,bright,1.5038484564072896,745
Pupil Neon,210,1,dark,0.7376852397127277,732
Pupil Neon,210,2,bright,0.7869800872368035,737
Pupil Neon,210,3,dark,1.854645361163963,742
Pupil Neon,210,4,bright,1.0215114837918162,750
Pupil Neon,210,5,dark,0.9220371965114413,737
Pupil Neon,210,6,bright,0.7430828656707335,740
Pupil Neon,231,1,dark,1.305820857874999,730
Pupil Neon,231,2,bright,1.2863665395569406,738
Pupil Neon,231,3,dark,1.1899134530062856,738
Pupil Neon,231,4,bright,1.1028241134545114,743
Pupil Neon,231,5,dark,0.7470857967890513,738
Pupil Neon,231,6,bright,1.1884005124742172,731
Pupil Neon,259,1,dark,2.1470038334885513,721
Pupil Neon,259,2,bright,2.277590485041756,744
Pupil Neon,259,3,dark,2.3489375071438485,728
Pupil Neon,259,4,bright,2.385035903177535,750
Pupil Neon,259,5,dark,1.4293511712332028,732
Pupil Neon,259,6,bright,1.893151591008191,730
Pupil Neon,276,1,dark,1.036125478161979,724
Pupil Neon,276,2,bright,1.0411325210232298,709
Pupil Neon,276,3,dark,1.8241044542507991,750
Pupil Neon,276,4,bright,2.6745804010886185,739
Pupil Neon,276,5,dark,1.5787249121474358,748
Pupil Neon,276,6,bright,2.5371345742320495,747
Pupil Neon,299,1,dark,0.9089022414864389,735
Pupil Neon,299,2,bright,0.6243275128914647,731
Pupil Neon,299,3,dark,1.8940130108595377,623
Pupil Neon,299,4,bright,1.016522249247116,705
Pupil Neon,299,5,dark,0.820710831372319,715
Pupil Neon,299,6,bright,0.8587873783302359,737
Pupil Neon,319,1,dark,2.0473886368975287,734
Pupil Neon,319,2,bright,0.7589736192404438,736
Pupil Neon,319,3,dark,2.5519351821771994,737
Pupil Neon,319,4,bright,1.5771165844862425,739
Pupil Neon,319,5,dark,2.4725614921834005,748
Pupil Neon,319,6,bright,1.1528809903934913,749
Pupil Neon,332,1,dark,0.5007720851914661,742
Pupil Neon,332,2,bright,1.0566598208348166,738
Pupil Neon,332,3,dark,0.4243099086378993,728
Pupil Neon,332,4,bright,0.8930191763266472,745
Pupil Neon,332,5,dark,0.3015623232975515,736
Pupil Neon,332,6,bright,1.0493854241863394,743
Pupil Neon,347,1,dark,1.722711864574465,722
Pupil Neon,347,2,bright,0.7656053046261846,737
Pupil Neon,347,3,dark,1.5716031400021784,735
Pupil Neon,347,4,bright,0.9239398772824877,743
Pupil Neon,347,5,dark,1.3329086170106548,703
Pupil Neon,347,6,bright,1.0730031095771595,729
Pupil Neon,352,1,dark,1.7847392918909681,739
Pupil Neon,352,2,bright,2.388064705556658,738
Pupil Neon,352,3,dark,1.2854224201017896,734
Pupil Neon,352,4,bright,1.8247958926231322,723
Pupil Neon,352,5,dark,1.9802599196375148,739
Pupil Neon,352,6,bright,2.2820597838489287,721
Pupil Neon,354,1,dark,1.0871826767353918,693
Pupil Neon,354,2,bright,0.9120554497347967,736
Pupil Neon,354,3,dark,1.1218593841714364,739
Pupil Neon,354,4,bright,1.2872773845877072,705
Pupil Neon,354,5,dark,1.1637084957783348,731
Pupil Neon,354,6,bright,1.284658562521071,744
Pupil Neon,375,1,dark,1.0725850037287534,744
Pupil Neon,375,2,bright,1.0309907657495938,701
Pupil Neon,375,3,dark,1.021570223636925,738
Pupil Neon,375,4,bright,0.9680452046886937,696
Pupil Neon,375,5,dark,1.5496052554156547,724
Pupil Neon,375,6,bright,0.8241666001501683,730
Pupil Neon,397,1,dark,0.4760179390768347,736
Pupil Neon,397,2,bright,0.6946600813974482,748
Pupil Neon,397,3,dark,0.6297188808325175,738
Pupil Neon,397,4,bright,0.3354840612871209,742
Pupil Neon,397,5,dark,0.7713350525809092,744
Pupil Neon,397,6,bright,0.3646362137313271,735
Pupil Neon,406,1,dark,1.1965156112546935,740
Pupil Neon,406,2,bright,1.8707458033198434,741
Pupil Neon,406,3,dark,1.363239001029227,744
Pupil Neon,406,4,bright,2.1954600985649377,740
Pupil Neon,406,5,dark,1.4550757405043833,739
Pupil Neon,406,6,bright,2.2135952841517392,729
Pupil Neon,460,1,dark,0.6959895396726451,744
Pupil Neon,460,2,bright,1.0868063909787387,747
Pupil Neon,460,3,dark,1.4006066840384794,742
Pupil Neon,460,4,bright,1.2256679790097396,730
Pupil Neon,460,5,dark,1.089332943172378,742
Pupil Neon,460,6,bright,0.7128732152619746,739
Pupil Neon,503,1,dark,1.258826541291516,733
Pupil Neon,503,2,bright,1.4852790220097538,738
Pupil Neon,503,3,dark,1.77498303314635,747
Pupil Neon,503,4,bright,1.784176961212296,735
Pupil Neon,503,5,dark,1.6851399134087064,736
Pupil Neon,503,6,bright,1.551505777767437,736
Pupil Neon,695,1,dark,0.4352764899183994,748
Pupil Neon,695,2,bright,0.5492528206587896,736
Pupil Neon,695,3,dark,0.3712996686178376,738
Pupil Neon,695,4,bright,0.9197106826144891,741
Pupil Neon,695,5,dark,0.46278747705977863,749
Pupil Neon,695,6,bright,0.9410975634327914,743
Pupil Neon,772,1,dark,3.8068984269701795,742
Pupil Neon,772,2,bright,2.6431804218708663,727
Pupil Neon,772,3,dark,3.356243646120382,741
Pupil Neon,772,4,bright,2.503403584456357,735
Pupil Neon,772,5,dark,3.6808523158664856,732
Pupil Neon,772,6,bright,2.211946492139421,749
Pupil Neon,796,1,dark,1.5013993205862544,739
Pupil Neon,796,2,bright,0.5591381958064915,732
Pupil Neon,796,3,dark,1.6224485971837148,740
Pupil Neon,796,4,bright,0.39680136472549365,741
Pupil Neon,796,5,dark,1.7509539389212636,711
Pupil Neon,796,6,bright,0.8451546353207608,733
Pupil Neon,844,1,dark,1.5297227809215272,743
Pupil Neon,844,2,bright,0.9037520641732991,735
Pupil Neon,844,3,dark,1.6491912064275616,720
Pupil Neon,844,4,bright,1.6135855620464632,690
Pupil Neon,844,5,dark,1.1759283526406132,734
Pupil Neon,844,6,bright,2.453062648738333,687
Pupil Neon,875,1,dark,1.0460084734372557,747
Pupil Neon,875,2,bright,1.1268778277110936,727
Pupil Neon,875,3,dark,0.5923829231467618,740
Pupil Neon,875,4,bright,0.7050308977908631,746
Pupil Neon,875,5,dark,0.5429401179385931,746
Pupil Neon,875,6,bright,0.6625003947977589,746
Pupil Neon,914,1,dark,0.5515695473577318,745
Pupil Neon,914,2,bright,1.3828074576196026,738
Pupil Neon,914,3,dark,0.7923136122991074,722
Pupil Neon,914,4,bright,1.3233227989767011,744
Pupil Neon,914,5,dark,0.9910201422249528,745
Pupil Neon,914,6,bright,1.2684565723710148,743
SMI ETG 2w,137,1,dark,1.7143104997923826,110
SMI ETG 2w,137,2,bright,2.8136293984903102,115
SMI ETG 2w,137,3,dark,3.1532160459131995,113
SMI ETG 2w,137,4,bright,3.391150176932684,114
SMI ETG 2w,137,5,dark,3.6167561643626374,115
SMI ETG 2w,137,6,bright,3.5178907469947123,113
SMI ETG 2w,141,1,dark,1.53685764190481,114
SMI ETG 2w,141,2,bright,1.0671560020800166,115
SMI ETG 2w,141,3,dark,2.1938575351136316,114
SMI ETG 2w,141,4,bright,1.5507868544625636,112
SMI ETG 2w,141,5,dark,2.888248239048515,114
SMI ETG 2w,141,6,bright,1.7876555373032719,114
SMI ETG 2w,199,1,dark,3.183725680530688,114
SMI ETG 2w,199,2,bright,2.5723256272648207,114
SMI ETG 2w,199,3,dark,4.596313455985629,113
SMI ETG 2w,199,4,bright,3.9910353341532057,114
SMI ETG 2w,199,5,dark,5.736007081039708,112
SMI ETG 2w,199,6,bright,4.5369071258386935,114
SMI ETG 2w,210,1,dark,1.768314710318828,114
SMI ETG 2w,210,2,bright,0.17086099935322188,110
SMI ETG 2w,210,3,dark,1.4285185806280085,113
SMI ETG 2w,210,4,bright,0.21904700966551255,108
SMI ETG 2w,210,5,dark,1.231719066943133,114
SMI ETG 2w,210,6,bright,0.16325852950913322,113
SMI ETG 2w,231,1,dark,1.661126825280061,112
SMI ETG 2w,231,2,bright,0.40627815765174263,112
SMI ETG 2w,231,3,dark,1.3071481156253568,109
SMI ETG 2w,231,4,bright,0.7059882319467332,112
SMI ETG 2w,231,5,dark,1.2260946562192543,113
SMI ETG 2w,231,6,bright,1.149036080245198,115
SMI ETG 2w,259,1,dark,2.3412523618978005,110
SMI ETG 2w,259,2,bright,1.4417047152841374,114
SMI ETG 2w,259,3,dark,2.2937462090819647,113
