eye_tracker,participant_id,trial_number,trial_condition,rms_s2s,n_samples
Pupil Neon,354,5,dark,0.12787315312686348,731
Pupil Neon,354,6,bright,0.15129901897029635,744
Pupil Neon,375,1,dark,0.17244464880817845,744
Pupil Neon,375,2,bright,0.1669855114389646,701
Pupil Neon,375,3,dark,0.16022178163960446,738
Pupil Neon,375,4,bright,0.15955226748316875,696
Pupil Neon,375,5,dark,0.22450058964854214,724
Pupil Neon,375,6,bright,0.15915093768009606,730
Pupil Neon,397,1,dark,0.1449513051571047,736
Pupil Neon,397,2,bright,0.15117370824093868,748
Pupil Neon,397,3,dark,0.1425262699483542,738
Pupil Neon,397,4,bright,0.15815237563185439,742
Pupil Neon,397,5,dark,0.1413371212571852,744
Pupil Neon,397,6,bright,0.15202789472757486,735
Pupil Neon,406,1,dark,0.1391624234697022,740
Pupil Neon,406,2,bright,0.13462131017792206,741
Pupil Neon,406,3,dark,0.13393253106341377,744
Pupil Neon,406,4,bright,0.14213875223496705,740
Pupil Neon,406,5,dark,0.12826979939450978,739
Pupil Neon,406,6,bright,0.13557210300523834,729
Pupil Neon,460,1,dark,0.11963321380793844,744
Pupil Neon,460,2,bright,0.13680419938125626,747
Pupil Neon,460,3,dark,0.13231137923619746,742
Pupil Neon,460,4,bright,0.15774624737329498,730
Pupil Neon,460,5,dark,0.1368426795855872,742
Pupil Neon,460,6,bright,0.14767145952517793,739
Pupil Neon,503,1,dark,0.19145169539515788,733
Pupil Neon,503,2,bright,0.22340180650446914,738
Pupil Neon,503,3,dark,0.20072781829875297,747
Pupil Neon,503,4,bright,0.22379148374012192,735
Pupil Neon,503,5,dark,0.19956337655163484,736
Pupil Neon,503,6,bright,0.2127122146565938,736
Pupil Neon,695,1,dark,0.20219656894638782,748
Pupil Neon,695,2,bright,0.21933212514663616,736
Pupil Neon,695,3,dark,0.20702664772137847,738
Pupil Neon,695,4,bright,0.2225220681487608,741
Pupil Neon,695,5,dark,0.20061508670021116,749
Pupil Neon,695,6,bright,0.21263192445411278,743
Pupil Neon,772,1,dark,0.2401376743934188,742
Pupil Neon,772,2,bright,0.2770455807316224,727
Pupil Neon,772,3,dark,0.2515479204042815,741
Pupil Neon,772,4,bright,0.27104796083115223,735
Pupil Neon,772,5,dark,0.2625641746573819,732
Pupil Neon,772,6,bright,0.2535171996840416,749
Pupil Neon,796,1,dark,0.19785263724962632,739
Pupil Neon,796,2,bright,0.18011859269125757,732
Pupil Neon,796,3,dark,0.2175518349284842,740
Pupil Neon,796,4,bright,0.18160695425894957,741
Pupil Neon,796,5,dark,0.20849990654332318,711
Pupil Neon,796,6,bright,0.18846905402754158,733
Pupil Neon,844,1,dark,0.14899881730464787,743
Pupil Neon,844,2,bright,0.16288367727283337,735
Pupil Neon,844,3,dark,0.1517885855273875,720
Pupil Neon,844,4,bright,0.1701399447063965,690
Pupil Neon,844,5,dark,0.15772578328702827,734
Pupil Neon,844,6,bright,0.17549406987625868,687
Pupil Neon,875,1,dark,0.2616307192687479,747
Pupil Neon,875,2,bright,0.27812682606135997,727
Pupil Neon,875,3,dark,0.25163004577432646,740
Pupil Neon,875,4,bright,0.27287774943708404,746
Pupil Neon,875,5,dark,0.26970113459190675,746
Pupil Neon,875,6,bright,0.26936637790964607,746
Pupil Neon,914,1,dark,0.16008343862541055,745
Pupil Neon,914,2,bright,0.15733101805937685,738
Pupil Neon,914,3,dark,0.15849512504905036,722
Pupil Neon,914,4,bright,0.1588702351118434,744
Pupil Neon,914,5,dark,0.14664749461743376,745
Pupil Neon,914,6,bright,0.14066374654027164,743
SMI ETG,137,1,dark,0.23350689123502155,110
SMI ETG,137,2,bright,0.11270515187078725,115
SMI ETG,137,3,dark,0.2377300463861065,113
SMI ETG,137,4,bright,0.12891878933456075,114
SMI ETG,137,5,dark,0.17722656630315062,115
SMI ETG,137,6,bright,0.1932000306660268,113
SMI ETG,141,1,dark,0.10458204361018214,114
SMI ETG,141,2,bright,0.07899979915503731,115
SMI ETG,141,3,dark,0.13452859769357003,114
SMI ETG,141,4,bright,0.10525171666882195,112
SMI ETG,141,5,dark,0.1140418344245284,114
SMI ETG,141,6,bright,0.0832403978396125,114
SMI ETG,199,1,dark,0.6888782383236193,114
SMI ETG,199,2,bright,0.26576552054806835,114
SMI ETG,199,3,dark,0.35162164974656795,113
SMI ETG,199,4,bright,0.16429441498228484,114
SMI ETG,199,5,dark,0.28800824688548543,112
SMI ETG,199,6,bright,0.2887636161940307,114
SMI ETG,210,1,dark,0.12356994550287062,114
SMI ETG,210,2,bright,0.12144614446698071,110
SMI ETG,210,3,dark,0.11358387116753284,113
SMI ETG,210,4,bright,0.11262700558158946,108
SMI ETG,210,5,dark,0.14284689236711232,114
SMI ETG,210,6,bright,0.10030588323880721,113
SMI ETG,231,1,dark,0.5937432354998722,112
SMI ETG,231,2,bright,0.10492346108127665,112
SMI ETG,231,3,dark,0.33679674340451915,109
SMI ETG,231,4,bright,0.13438989098563026,112
SMI ETG,231,5,dark,0.6307855662535674,113
SMI ETG,231,6,bright,0.11345696486588254,115
SMI ETG,259,1,dark,0.16543882688358566,110
SMI ETG,259,2,bright,0.09116758125776822,114
SMI ETG,259,3,dark,0.27749371638682474,113
SMI ETG,259,4,bright,0.11655865223929714,114
SMI ETG,259,5,dark,0.6168232055543964,115
SMI ETG,259,6,bright,0.11936716989064804,113
SMI ETG,276,1,dark,0.12638749114781997,110
SMI ETG,276,2,bright,0.20623424863806547,110
SMI ETG,276,3,dark,0.12394077084615537,110
SMI ETG,276,4,bright,0.24897153056303598,95
SMI ETG,276,5,dark,0.12635071786276533,109
SMI ETG,276,6,bright,0.1111460089098609,110
SMI ETG,299,1,dark,0.7607656772720268,107
SMI ETG,299,2,bright,0.11067740871743749,108
SMI ETG,299,3,dark,0.1436590677181942,114
SMI ETG,299,4,bright,0.11687207978060614,114
SMI ETG,299,5,dark,0.13689955744127447,113
SMI ETG,299,6,bright,0.18822988019305273,106
SMI ETG,319,1,dark,0.31486179366427236,114
SMI ETG,319,2,bright,0.18460979231912641,113
SMI ETG,319,3,dark,0.18891581333398214,111
SMI ETG,319,4,bright,0.10970010266640715,112
SMI ETG,319,5,dark,0.3502148338106229,114
SMI ETG,319,6,bright,0.15889720828131726,114
SMI ETG,332,1,dark,0.12201880427602327,113
SMI ETG,332,2,bright,0.0952125708961572,115
SMI ETG,332,3,dark,0.15090465900186617,113
SMI ETG,332,4,bright,0.08878359082589139,112
SMI ETG,332,5,dark,0.13490639736057358,111
SMI ETG,332,6,bright,0.08961050546216096,112
SMI ETG,347,1,dark,0.136602382016634,115
SMI ETG,347,2,bright,0.08576187537999339,116
SMI ETG,347,3,dark,0.12726901850962463,112
SMI ETG,347,4,bright,0.13089268700224027,112
SMI ETG,347,5,dark,0.1737197326852538,111
SMI ETG,347,6,bright,0.20830140210174353,111
SMI ETG,352,1,dark,0.0999869559946154,111
SMI ETG,352,2,bright,0.0951394961481353,114
SMI ETG,352,3,dark,0.140582703820129,114
SMI ETG,352,4,bright,0.11141255000707545,113
SMI ETG,352,5,dark,0.17417348087368784,114
SMI ETG,352,6,bright,0.10518307742850198,111
SMI ETG,354,1,dark,0.09644489734614375,113
