eye_tracker,participant_id,dark_trial,bright_trial,apparent_gaze_shift,bright_samples,dark_samples
SMI ETG,844,3,4,2.4173521871029275,109,109
SMI ETG,844,5,6,1.7166523994765814,114,110
SMI ETG,875,1,2,2.116299429975362,115,112
SMI ETG,875,3,4,4.863055245805176,112,110
SMI ETG,875,5,6,1.9374610333518991,114,112
SMI ETG,914,1,2,3.7452880734911362,114,113
SMI ETG,914,3,4,3.3754501834782324,114,114
SMI ETG,914,5,6,2.813649639266704,114,115
Tobii Glasses 2,141,1,2,1.9480334546848306,361,295
Tobii Glasses 2,141,3,4,1.9631614868035367,340,322
Tobii Glasses 2,141,5,6,1.8959537792428034,363,361
Tobii Glasses 2,276,1,2,1.0776422040459541,287,306
Tobii Glasses 2,276,3,4,0.513552113509878,286,290
Tobii Glasses 2,276,5,6,0.5442268585122656,356,293
Tobii Glasses 2,352,1,2,2.256869056683045,306,310
Tobii Glasses 2,352,3,4,0.9887573184637316,329,309
Tobii Glasses 2,352,5,6,3.7185494289740206,320,298
Tobii Glasses 2,695,1,2,1.29416023905089,370,367
Tobii Glasses 2,695,3,4,0.5139273537903829,304,355
Tobii Glasses 2,695,5,6,0.6790117721782843,315,308
Tobii Glasses 2,875,1,2,0.8568742902982438,280,349
Tobii Glasses 2,875,3,4,0.25867723085935124,308,293
Tobii Glasses 2,875,5,6,0.5745606088382689,320,296
Tobii Glasses 2,914,1,2,2.939723121009415,290,298
Tobii Glasses 2,914,3,4,2.019489145621578,278,285
Tobii Glasses 2,914,5,6,2.913840246908422,281,277
