eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,gaze_target_angle
Tobii Glasses 2,718,dilated,1,985,332,28723.424,-0.0283,0.2197,0.9751,29.79,-25.68,-28.76,4.19,0.0187,0.2163,0.9761,-32.51,-25.47,-27.84,4.11,991.296,312.552,-7.65,261.9,1258.06,0.9798120379465864
Tobii Glasses 2,719,dilated,1,985,332,28733.416,-0.027,0.2239,0.9742,29.96,-25.85,-28.83,4.25,0.018,0.2122,0.9771,-32.91,-25.29,-27.98,4.2,991.104,312.66,-7.35,258.83,1244.12,0.9720575161406875
Tobii Glasses 2,719,dilated,1,985,332,28743.408,-0.029,0.2191,0.9753,29.79,-25.67,-28.77,4.2,0.0197,0.2165,0.9761,-32.51,-25.47,-27.84,4.11,991.296,313.416,-7.35,252.36,1216.72,0.9407500485952531
Tobii Glasses 2,719,dilated,1,985,332,28753.397,-0.0279,0.2235,0.9743,29.96,-25.85,-28.83,4.27,0.0194,0.2122,0.977,-32.91,-25.29,-27.98,4.21,990.912,313.632,-6.81,247.29,1193.34,0.9250912593416674
Tobii Glasses 2,719,dilated,1,985,332,28763.389,-0.0294,0.2181,0.9755,29.8,-25.67,-28.77,4.2,0.021,0.2178,0.9758,-32.51,-25.47,-27.84,4.13,990.72,313.848,-6.56,243.66,1176.9,0.912437653113204
Tobii Glasses 2,720,dilated,1,985,332,28773.385,-0.0282,0.2233,0.9743,29.96,-25.85,-28.83,4.27,0.0207,0.2131,0.9768,-32.91,-25.29,-27.97,4.22,990.336,313.524,-6.1,242.65,1170.51,0.9218081765662229
Tobii Glasses 2,720,dilated,1,985,332,28783.376,-0.029,0.2186,0.9754,29.8,-25.68,-28.76,4.21,0.0225,0.2194,0.9754,-32.5,-25.48,-27.82,4.13,989.568,312.984,-5.26,239.28,1151.32,0.9371684431778834
Tobii Glasses 2,720,dilated,1,985,332,28793.393,-0.0278,0.2244,0.9741,29.96,-25.85,-28.83,4.29,0.0218,0.2139,0.9766,-32.91,-25.3,-27.97,4.22,989.376,312.768,-5.13,239.48,1151.21,0.9450847726398472
Tobii Glasses 2,720,dilated,1,985,332,28803.388,-0.0287,0.2182,0.9755,29.8,-25.68,-28.76,4.22,0.0228,0.2199,0.9752,-32.5,-25.48,-27.82,4.15,989.184,312.876,-4.88,239.26,1151.03,0.9380368684328644
Tobii Glasses 2,721,dilated,1,985,333,28813.378,-0.0278,0.2233,0.9744,29.97,-25.85,-28.83,4.3,0.0223,0.2133,0.9767,-32.91,-25.3,-27.96,4.23,988.992,313.848,-4.78,237.23,1145.97,0.9377713355771622
Tobii Glasses 2,721,dilated,1,985,333,28823.375,-0.0288,0.2159,0.976,29.8,-25.67,-28.77,4.23,0.0228,0.2192,0.9754,-32.5,-25.48,-27.82,4.16,989.184,314.928,-4.98,235.93,1144.54,0.8894102849305868
Tobii Glasses 2,721,dilated,1,985,333,28833.36,-0.0288,0.222,0.9746,29.97,-25.85,-28.83,4.31,0.0224,0.2127,0.9769,-32.91,-25.3,-27.96,4.24,989.76,315.36,-5.33,232.49,1129.92,0.8762014763802659
Tobii Glasses 2,722,dilated,1,984,332,28843.351,-0.03,0.2149,0.9762,29.8,-25.67,-28.78,4.24,0.0223,0.2196,0.9753,-32.5,-25.48,-27.82,4.17,990.336,315.684,-5.92,231.07,1124.6,0.8399552437462995
Tobii Glasses 2,722,dilated,1,984,332,28853.346,-0.0295,0.2218,0.9747,29.97,-25.85,-28.83,4.32,0.0207,0.2121,0.977,-32.9,-25.27,-28.01,4.25,991.104,315.576,-6.76,235.91,1147.73,0.8590459441602244
Tobii Glasses 2,722,dilated,1,984,332,28863.339,-0.0298,0.2147,0.9762,29.8,-25.67,-28.77,4.26,0.0208,0.2186,0.9756,-32.49,-25.47,-27.83,4.18,991.104,315.684,-6.9,239.83,1167.37,0.8543314135712249
Tobii Glasses 2,722,dilated,1,984,332,28873.329,-0.0278,0.2213,0.9748,29.97,-25.85,-28.83,4.31,0.0196,0.211,0.9773,-32.88,-25.23,-28.07,4.27,990.72,315.684,-6.69,247.38,1203.98,0.8469644888538823
Tobii Glasses 2,723,dilated,1,984,333,28883.32,-0.0282,0.2143,0.9764,29.81,-25.67,-28.77,4.26,0.0194,0.2177,0.9758,-32.48,-25.45,-27.85,4.19,990.72,315.252,-7.09,256.15,1244.64,0.9107175840278012
Tobii Glasses 2,723,dilated,1,984,333,28893.311,-0.0271,0.221,0.9749,29.97,-25.85,-28.83,4.32,0.0183,0.2101,0.9775,-32.87,-25.18,-28.14,4.29,990.912,315.792,-7.26,255.73,1245.12,0.8901835694890149
Tobii Glasses 2,723,dilated,1,984,333,28903.308,-0.0284,0.2128,0.9767,29.81,-25.66,-28.78,4.27,0.0187,0.2175,0.9759,-32.48,-25.44,-27.88,4.2,991.296,316.332,-7.71,256.06,1249.62,0.873780395222361
Tobii Glasses 2,723,dilated,1,984,333,28913.323,-0.0271,0.2209,0.9749,29.98,-25.84,-28.83,4.32,0.0172,0.2097,0.9776,-32.85,-25.14,-28.2,4.31,991.488,315.684,-8.03,260.98,1270.34,0.9058283209226049
Tobii Glasses 2,724,dilated,1,984,332,28923.319,-0.0282,0.2134,0.9766,29.81,-25.66,-28.77,4.28,0.0179,0.2177,0.9759,-32.47,-25.42,-27.9,4.21,991.68,315.36,-8.28,263.36,1280.23,0.8799964976907425
Tobii Glasses 2,724,dilated,1,984,332,28933.31,-0.0265,0.2217,0.9748,29.98,-25.84,-28.82,4.33,0.0161,0.209,0.9778,-32.84,-25.1,-28.26,4.34,991.872,315.36,-8.54,265.21,1289.19,0.8839993358985149
Tobii Glasses 2,724,dilated,1,984,332,28943.303,-0.0267,0.2141,0.9764,29.81,-25.66,-28.77,4.29,0.0183,0.2175,0.9759,-32.47,-25.4,-27.93,4.23,990.528,314.496,-7.15,271.83,1316.79,0.8961887727066912
Tobii Glasses 2,724,dilated,1,984,332,28953.292,-0.0264,0.2217,0.9748,29.98,-25.84,-28.82,4.34,0.0219,0.214,0.9766,-32.89,-25.27,-27.99,4.3,988.416,313.416,-4.31,250.27,1206.86,0.9154879263868331
