eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,confidence,gaze_target_angle
Pupil Core,2627,dilated,1,661,366,88757.69465934,-39.52856942,14.46669344,-21.22770876,3.95139106,0.18456155,-0.10279734,0.97743017,20.36513045,15.22478532,-19.79393277,,-0.08939642,-0.0535081,0.99455777,637.52675424,388.30786466,1.1083603,-2.22604584,194.92498141,1.0,2.337944041569494
Pupil Core,2627,dilated,1,661,366,88761.78165934,-39.52856942,14.46669344,-21.22770876,3.95139106,0.18257781,-0.10307667,0.97777326,20.36513045,15.22478532,-19.79393277,4.84940863,-0.08939642,-0.0535081,0.99455777,636.89413955,387.74557048,0.96114543,-2.38411765,196.56798668,1.0,2.343802859103032
Pupil Core,2627,dilated,1,661,366,88765.81565934,-39.52856942,14.46669344,-21.22770876,3.93841173,0.18257781,-0.10307667,0.97777326,20.36513045,15.22478532,-19.79393277,4.84940863,-0.09348357,-0.05245443,0.99423808,634.50711843,389.08459237,0.3643685,-2.01898016,193.37272123,1.0,2.53676174375446
Pupil Core,2628,dilated,1,661,366,88769.73165934,-39.52856942,14.46669344,-21.22770876,3.93841173,0.18232373,-0.10544544,0.97756806,20.36513045,15.22478532,-19.79393277,4.81609048,-0.09348357,-0.05245443,0.99423808,634.43110797,387.965216,0.34623796,-2.29425994,193.57973081,1.0,2.488588213564019
Pupil Core,2628,dilated,1,661,366,88773.67115934,-39.52856942,14.46669344,-21.22770876,3.92665275,0.18232373,-0.10544544,0.97756806,20.36513045,15.22478532,-19.79393277,4.81609048,-0.08860904,-0.05638985,0.99446902,637.27204708,385.18862639,1.05898149,-3.02989987,197.36320519,1.0,2.203008918632691
Pupil Core,2628,dilated,1,661,366,88777.75915934,-39.52856942,14.46669344,-21.22770876,3.92665275,0.18600029,-0.10107363,0.97733721,20.36513045,15.22478532,-19.79393277,4.76725237,-0.08860904,-0.05638985,0.99446902,638.43738797,387.95664492,1.32766528,-2.3050767,194.31157927,1.0,2.273033927429116
Pupil Core,2628,dilated,1,661,366,88781.82315934,-39.52856942,14.46669344,-21.22770876,,0.18600029,-0.10107363,0.97733721,20.36513045,15.22478532,-19.79393277,4.76725237,-0.08586051,-0.05417643,0.99483309,640.04187649,388.34799277,1.73972513,-2.23432387,196.51616594,1.0,2.2121626399319054
Pupil Core,2628,dilated,1,661,366,88785.77515934,-39.52856942,14.46669344,-21.22770876,3.92134067,0.18600029,-0.10107363,0.97733721,20.36513045,15.22478532,-19.79393277,4.76725237,-0.08627428,-0.05670921,0.99465613,639.79674299,387.31767332,1.67591384,-2.48482175,196.14401589,1.0,2.170890424846143
Pupil Core,2628,dilated,1,661,366,88789.71365934,-39.52856942,14.46669344,-21.22770876,3.92134067,0.17954685,-0.09599869,0.97905423,20.36513045,15.22478532,-19.79393277,4.71993461,-0.08627428,-0.05670921,0.99465613,637.72603888,388.16988731,1.19710146,-2.33773095,201.6338365,1.0,2.3206636687875597
Pupil Core,2628,dilated,1,661,366,88793.73415934,-39.52856942,14.46669344,-21.22770876,3.92134067,0.18251565,-0.09588733,0.97851605,20.36513045,15.22478532,-19.79393277,4.79710529,-0.08627428,-0.05670921,0.99465613,638.67081945,388.87251533,1.41869676,-2.1317611,199.07376954,1.0,2.307882579039221
Pupil Core,2628,dilated,1,661,366,88797.74865934,-39.52856942,14.46669344,-21.22770876,3.90300229,0.18251565,-0.09588733,0.97851605,20.36513045,15.22478532,-19.79393277,4.79710529,-0.09032502,-0.05545364,0.99436728,636.31355605,390.2926641,0.81441098,-1.74657092,195.84094962,1.0,2.5005137545538423
Pupil Core,2629,dilated,1,661,366,88801.75465934,-39.52856942,14.46669344,-21.22770876,3.90300229,0.17773498,-0.09135815,0.97982854,20.36513045,15.22478532,-19.79393277,4.77072927,-0.09032502,-0.05545364,0.99436728,634.78651435,391.26193189,0.44688418,-1.53825335,199.85944977,1.0,2.6282397680893035
Pupil Core,2629,dilated,1,661,366,88805.70715934,-39.52856942,14.46669344,-21.22770876,3.90931665,0.17773498,-0.09135815,0.97982854,20.36513045,15.22478532,-19.79393277,4.77072927,-0.09110312,-0.05913859,0.99408392,634.32546845,389.8054367,0.32971879,-1.89842978,199.15684321,1.0,2.5810362804706988
Pupil Core,2629,dilated,1,661,366,88809.74015934,-39.52856942,14.46669344,-21.22770876,3.89009066,0.17773498,-0.09135815,0.97982854,20.36513045,15.22478532,-19.79393277,4.77072927,-0.08837582,-0.05944476,0.99431184,635.91446996,389.08818205,0.73634588,-2.10189137,201.40018423,1.0,2.4613506498520494
Pupil Core,2629,dilated,1,661,366,88813.72665934,-39.52856942,14.46669344,-21.22770876,3.89009066,0.17967249,-0.09419049,0.9792068,20.36513045,15.22478532,-19.79393277,4.75969087,-0.08837582,-0.05944476,0.99431184,636.53467049,388.24837668,0.88622474,-2.29593214,199.73432437,1.0,2.387400839199056
Pupil Core,2629,dilated,1,661,366,88817.79415934,-39.52856942,14.46669344,-21.22770876,3.89009066,0.18253139,-0.09226282,0.97886151,20.36513045,15.22478532,-19.79393277,4.82306614,-0.08837582,-0.05944476,0.99431184,637.44012253,389.74045867,1.10036203,-1.89697318,197.30645641,1.0,2.4148122087274326
