eye_tracker,frame,trial_condition,segment,target_x,target_y,gaze_pos_vid_x,gaze_pos_vid_y,pup_diam_l,pup_diam_r,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_target_angle
Pupil Neon,833,dilated,1,777,352,761.9,337.002,5.71058941,5.83637428,-31.00664139,15.77313232,-38.98199844,31.95679474,15.3553772,-38.38139343,0.00033457,-0.3105931,0.95054293,0.00486336,-0.31825921,0.94799125,1.3607406996618976
Pupil Neon,833,dilated,1,777,352,763.273,337.886,5.71474361,5.85181475,-31.06139374,15.7157135,-39.06143188,31.90207481,15.37277985,-38.34501266,0.00117421,-0.30922791,0.95098722,0.00713004,-0.31688681,0.94843656,1.2590935167058943
Pupil Neon,834,dilated,1,777,352,762.089,335.274,5.73540258,5.858078,-31.03419495,15.71135712,-39.04642868,31.92796898,15.37511826,-38.33009338,-0.00038886,-0.30862212,0.95118469,0.00274801,-0.31642863,0.94861239,1.4336583040848185
Pupil Neon,834,dilated,1,777,352,763.421,336.67,5.74376392,5.84483576,-31.01367188,15.79682922,-39.00191498,31.94846916,15.41879272,-38.33235168,-0.00137994,-0.31374106,0.94950759,0.00234328,-0.32144824,0.94692427,1.3103597182016598
Pupil Neon,834,dilated,1,777,352,763.699,334.712,5.72109652,5.84760094,-30.99228668,15.76951981,-38.95799255,31.96928787,15.32930374,-38.38102341,0.00157236,-0.31005505,0.95071733,0.00356887,-0.31760424,0.94821668,1.39674300302115
Pupil Neon,834,dilated,1,777,352,763.664,334.825,5.73926592,5.83480787,-31.03588104,15.81031036,-38.98477554,31.92519951,15.41099548,-38.35374451,0.00287223,-0.31491303,0.94911623,0.00597602,-0.32255709,0.94653118,1.3923216441543445
Pupil Neon,834,dilated,1,777,352,764.241,334.908,5.70521927,5.83977461,-31.02653503,15.76049423,-38.94246292,31.93562317,15.30143356,-38.43862152,0.00600225,-0.30816525,0.95131391,0.00880988,-0.31565219,0.94883406,1.3660007860143075
Pupil Neon,834,dilated,1,777,352,764.286,335.762,5.72982359,5.83627129,-31.0544281,15.72886658,-39.02336121,31.9070015,15.30726624,-38.38072205,0.00337408,-0.30725148,0.95162237,0.00703573,-0.31460127,0.94919783,1.3204763980255527
Pupil Neon,835,dilated,1,777,352,763.933,335.112,5.73259211,5.84879065,-31.07533264,15.778862,-39.02526093,31.88550949,15.37050247,-38.35464478,0.0046117,-0.31151602,0.9502297,0.00799398,-0.3188746,0.9477632,1.3672769545481511
Pupil Neon,835,dilated,1,777,352,763.719,336.089,5.73258114,5.84231091,-31.00963211,15.75650024,-38.991745,31.95077515,15.34037018,-38.29897308,0.00087972,-0.30984798,0.95078576,-0.00054829,-0.31689629,0.94846004,1.326556004285226
Pupil Neon,835,dilated,1,777,352,763.962,336.378,5.72229528,5.84315586,-31.05461121,15.70324707,-39.03491211,31.90538216,15.29576111,-38.30303955,0.00421748,-0.3055363,0.95217109,0.00302466,-0.31241509,0.94994092,1.3023950848360002
Pupil Neon,835,dilated,1,777,352,763.904,337.099,5.73623133,5.84643364,-31.07092285,15.75736618,-39.04090118,31.88678932,15.39110184,-38.25749207,0.00467341,-0.31012148,0.9506855,0.00069677,-0.3169497,0.94844216,1.269395766977719
Pupil Neon,835,dilated,1,777,352,763.732,338.206,5.71900702,5.84289885,-31.02350616,15.73078537,-39.01235199,31.93597984,15.35862732,-38.29585266,0.00272051,-0.30863714,0.95117599,-0.00085224,-0.31567302,0.94886768,1.224063514593651
Pupil Neon,835,dilated,1,777,352,762.473,337.801,5.73498821,5.8386755,-31.01869202,15.71981049,-39.00291443,31.94074631,15.3620491,-38.28256226,0.00138305,-0.30919537,0.95099753,-0.00237644,-0.3159543,0.94877142,1.2986805090117874
Pupil Neon,835,dilated,1,777,352,762.327,337.787,5.72825956,5.849051,-30.97362518,15.7157135,-38.97624588,31.98899841,15.33709717,-38.32752991,0.00161576,-0.30904847,0.95104498,-0.00096209,-0.31629181,0.94866151,1.3059233232040715
Pupil Neon,836,dilated,1,777,352,765.172,337.072,5.73145151,5.83739233,-30.95082092,15.75683594,-38.96120453,32.01103592,15.36434937,-38.31899261,0.00037407,-0.31013063,0.95069391,-0.00446944,-0.31729087,0.94831777,1.2194260562352968
Pupil Neon,836,dilated,1,777,352,764.492,333.027,5.72953415,5.8289113,-31.0178299,15.71487808,-39.00992584,31.94528198,15.3520813,-38.31887817,0.0022357,-0.3082858,0.95129114,-0.00021827,-0.31530696,0.94898975,1.456272453924091
Pupil Neon,836,dilated,1,777,352,764.4,333.993,5.74653769,5.83405447,-31.01029205,15.70046234,-39.05357361,31.95253181,15.36915588,-38.31979752,-0.00048956,-0.30855921,0.95120502,-0.0023477,-0.31596676,0.94876742,1.4079829076429664
Pupil Neon,836,dilated,1,777,352,765.505,334.091,5.74889755,5.84103298,-31.02718353,15.7431221,-38.98288727,31.93531418,15.39551544,-38.335392,0.00359389,-0.31125161,0.95032078,0.00206049,-0.31856173,0.94789994,1.3639092947913043
Pupil Neon,836,dilated,1,777,352,761.361,335.137,5.74168205,5.84187555,-31.0004425,15.73448181,-38.99193954,31.96045876,15.35887146,-38.36457062,0.00098072,-0.30982518,0.95079303,0.0017429,-0.31718946,0.94836056,1.4711368926870019
Pupil Neon,836,dilated,1,777,352,762.236,333.918,5.73231554,5.84988213,-31.00475311,15.71246338,-39.00704575,31.95905876,15.36963654,-38.32151794,-0.00056437,-0.30928618,0.95096886,0.00070032,-0.31673676,0.94851327,1.4942846025804744
Pupil Neon,836,dilated,1,777,352,763.056,334.835,5.7375865,5.85775948,-30.99531555,15.70575714,-38.99114609,31.96751404,15.35739517,-38.29869843,-0.00020134,-0.30817229,0.95133054,-0.00119951,-0.31538817,0.94896203,1.4156829215536684
Pupil Neon,837,dilated,1,777,352,763.589,334.062,5.72069407,5.84835052,-31.0087204,15.69389725,-38.99161911,31.95275879,15.34708023,-38.31033325,0.00123956,-0.30776772,0.95146078,-0.00018944,-0.31504393,0.94907713,1.4343690967320646
Pupil Neon,837,dilated,1,777,352,762.0,336.625,5.72570086,5.85838461,-30.9841156,15.75218964,-38.92633057,31.9798317,15.3700676,-38.35517883,0.00220282,-0.3108331,0.95046198,0.00063081,-0.31815004,0.94804019,1.3736115002711728
Pupil Neon,837,dilated,1,777,352,761.87,334.902,5.73570776,5.85314989,-30.98181915,15.76340485,-38.93267822,31.98140717,15.38673019,-38.29606628,0.00184767,-0.31144452,0.95026255,-0.00303275,-0.31840509,0.94794989,1.460813290551394
Pupil Neon,837,dilated,1,777,352,764.81,335.245,5.73592091,5.8381176,-30.99453354,15.73080063,-38.96111298,31.97252274,15.36512756,-38.32846069,0.00111208,-0.31013867,0.95069075,-0.00018634,-0.31742212,0.94828433,1.3271911441801827
Pupil Neon,837,dilated,1,777,352,764.828,333.848,5.74644279,5.85335732,-30.97871399,15.745224,-38.93379593,31.98773956,15.38414001,-38.33055115,0.00130664,-0.31146106,0.95025802,0.00089258,-0.31879029,0.94782484,1.400440717784284
Pupil Neon,837,dilated,1,777,352,765.121,332.994,5.74694633,5.8458271,-30.97679138,15.75155258,-38.99564743,31.98688889,15.40859985,-38.3079834,-0.00268487,-0.31208143,0.95005155,-0.00066949,-0.31981346,0.94748032,1.4366288279964943
Pupil Neon,838,dilated,1,777,351,766.307,331.957,5.74030972,5.85919619,-30.99894714,15.83589554,-38.94235229,31.9642067,15.44497681,-38.32123566,0.00255984,-0.3159188,0.9487828,0.00236286,-0.3233844,0.94626474,1.4004651872061447
Pupil Neon,838,dilated,1,777,351,764.704,334.354,5.74274254,5.84495544,-31.02569199,15.81264496,-38.96495819,31.93841934,15.40628433,-38.3435936,0.00417038,-0.31409094,0.9493838,0.00437154,-0.32159725,0.94686651,1.325395912337121
Pupil Neon,838,dilated,1,777,351,767.756,334.253,5.72829676,5.84403896,-30.99438095,15.80860901,-38.96146774,31.96677017,15.41183853,-38.32567215,0.00191934,-0.31337541,0.9496274,0.00198507,-0.32102674,0.9470681,1.2267501145283568
Pupil Neon,838,dilated,1,777,351,766.004,335.581,5.72717237,5.84647322,-30.93872833,15.77185059,-38.95333099,32.02313995,15.35593414,-38.35115051,-0.0021128,-0.30867022,0.95116681,-0.00182511,-0.31606019,0.94873744,1.213133006491582
Pupil Neon,838,dilated,1,777,351,765.974,335.71,5.72470188,5.85814667,-30.98152161,15.78899765,-38.95186234,31.98047829,15.40397644,-38.32429123,-0.00066487,-0.31198937,0.9500854,-0.00048307,-0.31943697,0.9476074,1.2074706897877023
Pupil Neon,838,dilated,1,777,351,764.752,335.127,5.73612452,5.83904028,-31.01332855,15.78132629,-38.95744324,31.94939041,15.44103622,-38.29119492,0.00052342,-0.31333771,0.94964164,-0.0007299,-0.32073182,0.94716978,1.283745389859975
Pupil Neon,838,dilated,1,777,351,764.626,338.322,5.73581553,5.85016584,-30.99539948,15.80802917,-38.95657349,31.96811867,15.44021225,-38.29337311,0.00051158,-0.31499922,0.94909179,-0.00159255,-0.32230029,0.94663614,1.1328573980791246
Pupil Neon,839,dilated,1,777,351,764.526,336.577,5.74202585,5.85412741,-31.01555634,15.76816559,-38.96232605,31.94863319,15.37336349,-38.34402466,0.00283202,-0.31162056,0.95020247,0.00226858,-0.31918743,0.94768894,1.2202278353231273
Pupil Neon,839,dilated,1,777,351,765.274,333.243,5.73743629,5.85075808,-31.04017258,15.75943756,-38.979496,31.92318726,15.36905289,-38.2838974,0.00326071,-0.31025007,0.95064938,0.0010788,-0.31726724,0.94833559,1.3635726675338393
Pupil Neon,839,dilated,1,777,351,763.994,332.468,5.73650503,5.84822845,-31.08895874,15.79945374,-38.97138596,31.87365341,15.43153381,-38.27978516,0.00696429,-0.31331146,0.9496249,0.00411204,-0.32044399,0.94725853,1.450341875232183
Pupil Neon,839,dilated,1,777,351,762.769,330.372,5.73860741,5.84859276,-31.01577377,15.79759598,-38.96347809,31.94848061,15.38583755,-38.37490082,0.0032019,-0.31291124,0.94977701,0.00341194,-0.32043076,0.9472658,1.6054692547247724
Pupil Neon,839,dilated,1,777,351,763.916,332.667,5.73865604,5.85529613,-31.03430176,15.76337814,-39.00253296,31.92928505,15.36224365,-38.36399841,0.00307234,-0.30994931,0.95074815,0.00454381,-0.31731755,0.94830847,1.4427030851262599
Pupil Neon,839,dilated,1,777,351,765.0,333.25,5.74225521,5.8469305,-31.02251053,15.73846817,-39.02277374,31.94186401,15.39059448,-38.31472778,-0.00047307,-0.31024218,0.95065749,0.00158447,-0.31767917,0.94819695,1.3727979228093428
Pupil Neon,839,dilated,1,777,351,763.178,334.434,5.7490406,5.86393785,-31.01932526,15.748909,-39.00465393,31.9428978,15.40188599,-38.28774261,0.00243632,-0.31125239,0.95032418,-0.00094385,-0.3184244,0.9479478,1.3808331033127252
Pupil Neon,840,dilated,1,777,351,765.573,333.615,5.75430346,5.89592218,-31.02970123,15.7052269,-38.9918251,31.93702316,15.36247253,-38.35923767,0.00400862,-0.3088716,0.95109528,0.00339072,-0.31609252,0.9487223,1.3331624574968486
Pupil Neon,840,dilated,1,777,351,763.812,333.583,5.72099876,5.87125301,-30.98184586,15.747612,-38.92771149,31.9866066,15.33289337,-38.40844345,0.0016528,-0.30769151,0.95148474,0.00136134,-0.31532505,0.94898278,1.3989545208085934
Pupil Neon,840,dilated,1,777,351,765.21,335.152,5.71350431,5.86285257,-30.97405243,15.76074219,-38.9204483,31.992836,15.38483429,-38.33698273,0.00060086,-0.3089641,0.95107353,-0.00259884,-0.31616005,0.94870234,1.265007336388031
Pupil Neon,840,dilated,1,777,351,766.371,335.064,5.73261261,5.85760403,-30.95977783,15.76463699,-38.94581985,32.00692749,15.39309692,-38.33638,-8.333e-05,-0.3105225,0.95056605,-0.00351558,-0.317709,0.94818175,1.2274475305781127
Pupil Neon,840,dilated,1,777,351,763.952,336.756,5.72029352,5.86458826,-30.98648453,15.78693771,-38.89384842,31.97748184,15.39157867,-38.32502747,0.00486173,-0.31007475,0.95069981,-0.00088707,-0.31717172,0.94836771,1.235682140977009
Pupil Neon,840,dilated,1,777,351,767.057,333.709,5.72784948,5.8566618,-31.01296997,15.79850769,-38.95864105,31.9495697,15.44083023,-38.27294159,0.00259348,-0.31348875,0.94958842,-0.00047399,-0.32037228,0.94729161,1.2789312277648481
Pupil Neon,841,dilated,1,777,351,766.09,333.398,5.72178602,5.8683424,-31.01457977,15.797966,-38.92507935,31.94926453,15.44160843,-38.22481537,0.00493243,-0.31294578,0.94975817,-0.00412219,-0.3196665,0.94752115,1.3274136760565816
Pupil Neon,841,dilated,1,777,351,766.388,334.502,5.707654,5.86433744,-30.99425888,15.77568436,-38.92195129,31.96935463,15.3924408,-38.26172638,0.00402439,-0.3093653,0.95093477,-0.00370495,-0.31628999,0.94865537,1.2571832860967678
Pupil Neon,841,dilated,1,777,351,768.386,331.869,5.71923876,5.87179232,-30.9864769,15.74754715,-38.97399139,31.97714233,15.42208862,-38.21808243,0.00108736,-0.31017041,0.95068038,-0.0055979,-0.31733915,0.94829559,1.346422427016193
Pupil Neon,841,dilated,1,777,351,769.362,334.366,5.74592972,5.88713884,-30.98949814,15.72569275,-39.00885773,31.97597504,15.42131805,-38.26470566,-0.00096537,-0.31158978,0.95021623,-0.0025256,-0.31876951,0.94782895,1.17459366226139
Pupil Neon,841,dilated,1,777,351,769.34,334.02,5.71788836,5.85434484,-30.97652054,15.74747086,-38.94376755,31.98827934,15.4073143,-38.23814011,0.00261295,-0.31035355,0.95061761,-0.00700188,-0.31731042,0.94829595,1.1954458517562137
Pupil Neon,841,dilated,1,777,351,770.674,333.367,5.71950102,5.85603809,-30.99317551,15.7588768,-38.94430542,31.9716835,15.39746857,-38.22562408,0.00405798,-0.3098262,0.95078456,-0.00484635,-0.31642255,0.94860601,1.2028952946396718
Pupil Neon,841,dilated,1,777,351,769.098,336.229,5.7069273,5.84428167,-30.96614075,15.78070068,-38.88525391,31.99784279,15.40774918,-38.23497391,0.00605574,-0.31075299,0.95047146,-0.00684173,-0.31743705,0.9482547,1.0744673322351515
Pupil Neon,842,dilated,1,777,351,767.086,335.284,5.6928606,5.85942936,-30.97901917,15.78774261,-38.88772583,31.98574829,15.40800476,-38.26631927,0.0049081,-0.31080386,0.95046139,-0.00351561,-0.31778044,0.94815785,1.1909992576618906
Pupil Neon,842,dilated,1,777,351,767.533,336.097,5.67971706,5.85143185,-30.95148468,15.77101135,-38.91963959,32.01548767,15.33325577,-38.32530975,0.00260429,-0.3082518,0.95130128,-0.00379934,-0.31513092,0.94904065,1.1316221948200624
Pupil Neon,842,dilated,1,777,351,767.434,333.638,5.7058301,5.85358381,-30.98842621,15.78121567,-38.90385437,31.97554588,15.39258957,-38.29776764,0.0058571,-0.30963498,0.95083749,-0.00019678,-0.31675416,0.94850767,1.2712578285091654
Pupil Neon,842,dilated,1,777,351,766.651,333.263,5.72283936,5.85414791,-30.95753479,15.83054352,-38.90752029,32.00616455,15.42756653,-38.31946564,0.00255837,-0.31465515,0.9492026,-0.00201082,-0.32160133,0.94687307,1.316637583832365
Pupil Neon,842,dilated,1,777,351,766.27,336.243,5.72727251,5.86677456,-30.98805237,15.79354095,-38.92481995,31.97522736,15.39001083,-38.36975861,0.00384622,-0.31225061,0.949992,0.00154532,-0.3191933,0.9476884,1.168657160184423
Pupil Neon,842,dilated,1,777,351,767.867,333.979,5.73226738,5.86986732,-31.00559235,15.77898407,-38.9787941,31.95990562,15.36988068,-38.35244751,0.00347144,-0.31086379,0.95044816,0.00281716,-0.31796151,0.94809943,1.23891261788703
Pupil Neon,843,dilated,1,777,351,762.967,332.904,5.72443056,5.8487339,-30.99233246,15.78429794,-38.95401764,31.97077942,15.40513611,-38.28452301,0.00133195,-0.31134936,0.95029461,-0.00274321,-0.31831741,0.94798028,1.46617568898601
Pupil Neon,843,dilated,1,777,351,762.109,330.743,5.73599768,5.86641312,-31.01543427,15.7784462,-38.95145035,31.94722748,15.41907501,-38.3143692,0.00305011,-0.31319225,0.94968486,-0.00039249,-0.320142,0.94736952,1.6101225252903186
Pupil Neon,843,dilated,1,777,351,765.07,331.456,5.71771812,5.86047029,-31.00876236,15.76912308,-38.89639664,31.95446014,15.38942719,-38.30447769,0.00656188,-0.314881,0.94910848,-0.00132855,-0.32168621,0.94684547,1.4677582541860599
Pupil Neon,843,dilated,1,777,351,763.858,327.432,5.6919899,5.84872341,-30.97898865,15.75057983,-38.88985443,31.98194313,15.34642029,-38.28414154,0.00338769,-0.31165469,0.95018941,-0.00525312,-0.31854942,0.94789171,1.730313780012257
Pupil Neon,843,dilated,1,777,351,762.924,328.229,5.72563553,5.83793306,-31.04994965,15.75469208,-38.9485321,31.90737534,15.41223145,-38.28001404,0.0050308,-0.31527892,0.94898576,-0.00177604,-0.32248679,0.94657236,1.7158475168840521
Pupil Neon,843,dilated,1,777,351,762.509,327.106,5.72436094,5.87470198,-31.0284996,15.76743317,-38.91522217,31.93130875,15.39253998,-38.30184174,0.0052,-0.31530106,0.94897747,-0.00022075,-0.32252157,0.94656211,1.7912500785092513
Pupil Neon,843,dilated,1,777,351,762.451,329.917,5.71755886,5.86960649,-31.01493454,15.78110504,-38.91212463,31.94854546,15.37948608,-38.38279343,0.00420228,-0.31633535,0.94863814,0.00186852,-0.32360664,0.94618988,1.641018375864292
