frame_idx	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l	pup_diam_r	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z
22	774.54600000	429.58900000	2.86723828	2.82202220	-31.21071243	16.04632950	-40.02535629	31.85721970	17.20788956	-40.32670593	-0.00572975	-0.11718210	0.99309391	0.05568011	-0.12651274	0.99040109
22	775.41800000	430.13300000	2.87833118	2.82048011	-31.21244049	16.13991547	-39.99860382	31.85211563	17.27981186	-40.32920456	-0.00390570	-0.12521517	0.99212193	0.05532308	-0.13415422	0.98941499
22	774.13100000	431.84000000	2.87904024	2.83410215	-31.20455933	16.15488434	-40.00531387	31.86205292	17.27970505	-40.31808472	-0.00698144	-0.12544201	0.99207640	0.05452335	-0.13447517	0.98941582
22	774.15700000	429.11700000	2.86699867	2.81139398	-31.20954514	16.09780884	-40.00679779	31.85783386	17.23937607	-40.31044006	-0.00255241	-0.12126027	0.99261749	0.05450642	-0.13020827	0.98998731
22	774.84000000	426.69100000	2.86929727	2.83272624	-31.13278198	16.10389328	-39.97914124	31.93254280	17.24047852	-40.33940887	-0.00750015	-0.12077416	0.99265170	0.04798405	-0.12975134	0.99038488
23	772.29000000	425.50200000	2.88708544	2.83642220	-31.16783905	16.18687057	-39.98561859	31.89952469	17.29953003	-40.39514160	-0.00571631	-0.12791544	0.99176860	0.05333386	-0.13697903	0.98913711
23	772.64100000	425.29500000	2.89359403	2.84085035	-31.19123840	16.14342117	-40.01490021	31.87673569	17.27996063	-40.40558624	-0.00540213	-0.12543422	0.99208724	0.05614636	-0.13451935	0.98931903
23	774.63800000	423.42200000	2.91124368	2.86619687	-31.15520859	16.21597290	-40.05516434	31.91645050	17.34416580	-40.42335892	-0.01079477	-0.13143633	0.99126583	0.05518372	-0.14040788	0.98855472
23	775.87000000	422.44400000	2.90806317	2.85939336	-31.15261841	16.22584534	-40.06433105	31.91842651	17.35147476	-40.38115311	-0.01006281	-0.13128033	0.99129421	0.05463732	-0.13997801	0.98864603
23	774.76100000	427.14200000	2.91098452	2.86566472	-31.20296478	16.22776031	-40.09216690	31.86871338	17.34444046	-40.41983032	-0.00927307	-0.13298391	0.99107486	0.06045103	-0.14191200	0.98803174
23	772.69400000	426.17600000	2.90398836	2.85455298	-31.20868683	16.19689941	-40.05175781	31.85928535	17.32892609	-40.37263489	-0.00533137	-0.12926160	0.99159622	0.06035748	-0.13799143	0.98859262
23	772.60200000	424.47400000	2.89775872	2.86366415	-31.15560532	16.14671326	-40.02869415	31.91454697	17.25888062	-40.34404373	-0.00825157	-0.12354099	0.99230516	0.05618620	-0.13243674	0.98959774
24	773.01800000	426.39100000	2.90112329	2.85574245	-31.11471558	16.12268829	-40.03373718	31.95650101	17.22983932	-40.30272675	-0.01164527	-0.12136783	0.99253929	0.05010163	-0.13035698	0.99020046
24	775.13100000	422.77700000	2.96351480	2.86708498	-31.13744354	16.18873215	-40.05686951	31.93144798	17.34731293	-40.27526855	-0.00955646	-0.13071200	0.99137437	0.05111156	-0.13960689	0.98888701
24	775.89700000	424.51000000	2.97513890	2.87724209	-31.15106201	16.17163086	-40.10668945	31.91855431	17.32854462	-40.31396484	-0.01074640	-0.13162588	0.99124122	0.05326012	-0.14041224	0.98865956
24	772.47900000	425.26300000	2.96996737	2.87549448	-31.14867783	16.15839005	-40.09019470	31.92083549	17.33248901	-40.31148529	-0.00993482	-0.13083893	0.99135387	0.05456688	-0.13956498	0.98870832
24	774.23100000	426.26500000	2.96234703	2.87132931	-31.10590363	16.11687469	-40.06439209	31.96624756	17.26683044	-40.31549835	-0.01218233	-0.12554622	0.99201298	0.05039204	-0.13457394	0.98962140
24	776.45600000	426.38800000	2.96858668	2.87580442	-31.07452011	16.08467484	-40.09018707	31.99712944	17.26425552	-40.27649307	-0.01436996	-0.12305763	0.99229550	0.04604740	-0.13209420	0.99016708
25	777.85300000	425.73100000	2.97347307	2.88807797	-31.09252167	16.14206314	-40.03723526	31.97777176	17.28958511	-40.30772400	-0.01233418	-0.12673824	0.99185950	0.04798587	-0.13546455	0.98961949
25	778.98900000	424.86600000	2.96644831	2.89229822	-31.15000916	16.16529083	-40.07426834	31.92049408	17.30007172	-40.29514313	-0.00923852	-0.12898983	0.99160290	0.05124593	-0.13750887	0.98917401
25	779.46700000	427.74400000	2.96090508	2.89544320	-31.06802368	16.16262817	-40.05175018	32.00436401	17.27712250	-40.33102036	-0.01546494	-0.12868685	0.99156469	0.04758298	-0.13737355	0.98937577
25	782.02300000	426.65600000	2.96675968	2.90688801	-31.16243362	16.18867874	-40.11355591	31.90804482	17.35546875	-40.26679993	-0.01048785	-0.13280468	0.99108672	0.05192729	-0.14149176	0.98857659
25	780.14100000	423.78000000	2.97827101	2.91312671	-31.19100189	16.21606827	-40.14012146	31.87787056	17.39376831	-40.28146362	-0.01030776	-0.13724589	0.99048340	0.05332913	-0.14599474	0.98784691
25	779.05400000	427.43800000	2.97538924	2.89998865	-31.17329025	16.20240021	-40.16308975	31.89792633	17.40177917	-40.24995422	-0.01381310	-0.13545413	0.99068731	0.05014470	-0.14401685	0.98830396
25	776.86800000	423.89200000	3.01615310	2.90594721	-31.10067749	16.24104309	-40.08648300	31.96949005	17.39659119	-40.28542328	-0.01438844	-0.13782990	0.99035144	0.04494541	-0.14614403	0.98824179
26	777.22700000	428.24300000	2.97611022	2.90019107	-31.12226868	16.16411209	-40.09604645	31.95085716	17.30413437	-40.30452728	-0.01307942	-0.12897222	0.99156195	0.04847169	-0.13742195	0.98932588
26	775.03000000	430.48400000	2.97528696	2.89836121	-31.10816193	16.15160370	-40.09522629	31.96308136	17.28217697	-40.32729721	-0.01232486	-0.12820236	0.99167144	0.04824678	-0.13654658	0.98945808
26	775.31400000	430.59700000	2.99691987	2.89944673	-31.19437408	16.18448639	-40.12128067	31.87554169	17.35542679	-40.29550934	-0.00722543	-0.13315192	0.99106932	0.05371360	-0.14155939	0.98847145
26	779.50000000	431.93700000	2.99980998	2.90671420	-31.16256332	16.21076584	-40.08835602	31.90939331	17.33101273	-40.26597595	-0.01056914	-0.13188611	0.99120855	0.04954851	-0.14056520	0.98883080
26	780.35800000	426.24700000	3.02014494	2.90766406	-31.17271805	16.21789932	-40.07458496	31.89527130	17.36434174	-40.23611450	-0.00817620	-0.13372706	0.99098450	0.05081898	-0.14223447	0.98852760
26	780.07000000	424.40300000	3.01370406	2.91380000	-31.15226746	16.21735382	-40.03035736	31.91622162	17.34403610	-40.28642273	-0.00781575	-0.13274394	0.99111956	0.05013691	-0.14125918	0.98870230
26	777.71000000	425.10300000	3.00667953	2.90160060	-31.20581055	16.20521545	-40.07027435	31.86273956	17.32843399	-40.32378769	-0.00371929	-0.13133045	0.99133170	0.05403861	-0.13983919	0.98869860
27	780.29900000	423.88000000	3.00697708	2.92722416	-31.18633652	16.23351669	-40.05780792	31.88634491	17.36129761	-40.27290344	-0.00580506	-0.13438256	0.99091256	0.05475825	-0.14306206	0.98819774
27	781.46600000	422.94600000	3.00554538	2.90387821	-31.30152893	16.21010590	-40.10831451	31.76779747	17.40365601	-40.27013397	0.00135605	-0.13509402	0.99083185	0.06054734	-0.14353187	0.98779184
27	780.95800000	425.17100000	3.00101972	2.89827085	-31.25802994	16.21508789	-40.07279968	31.81096077	17.35787201	-40.27991486	-0.00062078	-0.13192001	0.99126017	0.05780663	-0.14046547	0.98839664
27	776.53200000	427.47800000	3.00057268	2.90198946	-31.21318436	16.20933151	-40.02676392	31.85348129	17.34302902	-40.32603455	-0.00200087	-0.13185266	0.99126732	0.05574531	-0.14032586	0.98853487
27	779.38600000	428.30500000	3.00658131	2.91951776	-31.22842407	16.20616531	-40.04918671	31.84123802	17.31359482	-40.32894897	-0.00242558	-0.13180101	0.99127322	0.05993953	-0.14014584	0.98831493
27	780.66000000	428.72500000	3.00153828	2.91795373	-31.25758362	16.25103760	-40.05339813	31.81181335	17.37217331	-40.31873322	0.00076439	-0.13523492	0.99081326	0.06113204	-0.14372143	0.98772824
