frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l_px_x	pup_diam_l_px_y	pup_diam_r_px_x	pup_diam_r_px_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
35	32.04000000	-1.93900000	-24.78500000	2.26000000	0.02430000	-0.22960000	0.97300000	-34.83700000	-0.16300000	-21.69300000	2.38000000	0.06660000	-0.22940000	0.97110000	585.16000000	559.92000000	63.00000000	56.00000000	64.00000000	58.00000000	540.94000000	630.54000000	647.10000000	631.08000000
35	32.04000000	-1.93900000	-24.78500000	2.26000000	0.01920000	-0.22930000	0.97320000	-34.83700000	-0.16300000	-21.69300000	2.40000000	0.06400000	-0.22810000	0.97150000	589.66000000	559.80000000	62.00000000	56.00000000	64.00000000	58.00000000	546.82000000	630.05000000	650.15000000	629.55000000
36	32.04000000	-1.93900000	-24.78500000	2.26000000	0.01600000	-0.22830000	0.97350000	-34.83700000	-0.16300000	-21.69300000	2.38000000	0.05960000	-0.22830000	0.97180000	594.05000000	558.85000000	61.00000000	56.00000000	62.00000000	58.00000000	550.51000000	628.78000000	655.11000000	629.73000000
38	32.04000000	-1.93900000	-24.78500000	2.28000000	-0.04050000	-0.21530000	0.97570000	-34.83700000	-0.16300000	-21.69400000	2.38000000	0.00940000	-0.22080000	0.97530000	656.23000000	548.62000000	62.00000000	56.00000000	64.00000000	58.00000000	615.27000000	612.47000000	712.78000000	620.91000000
38	32.04000000	-1.93900000	-24.78500000	2.30000000	-0.03940000	-0.21560000	0.97570000	-34.83800000	-0.16200000	-21.69500000	2.40000000	0.00690000	-0.21720000	0.97610000	656.86000000	545.25000000	62.00000000	57.00000000	64.00000000	58.00000000	613.94000000	612.90000000	715.72000000	616.56000000
39	32.04000000	-1.93800000	-24.78500000	2.34000000	-0.03800000	-0.21590000	0.97570000	-34.83800000	-0.16200000	-21.69500000	2.38000000	0.00560000	-0.21660000	0.97620000	656.71000000	544.21000000	63.00000000	56.00000000	64.00000000	56.00000000	612.36000000	613.30000000	717.20000000	615.92000000
40	32.04000000	-1.93800000	-24.78600000	2.34000000	-0.03810000	-0.21720000	0.97540000	-34.83800000	-0.16200000	-21.69600000	2.40000000	0.00680000	-0.21710000	0.97610000	656.15000000	545.71000000	63.00000000	58.00000000	64.00000000	60.00000000	612.47000000	614.84000000	715.90000000	616.53000000
41	32.04000000	-1.93800000	-24.78600000	2.32000000	-0.03530000	-0.21630000	0.97570000	-34.83800000	-0.16200000	-21.69600000	2.42000000	0.00610000	-0.21640000	0.97630000	654.83000000	543.54000000	63.00000000	58.00000000	64.00000000	60.00000000	609.32000000	613.71000000	716.69000000	615.67000000
41	32.04000000	-1.93800000	-24.78600000	2.34000000	-0.03870000	-0.21380000	0.97610000	-34.83900000	-0.16200000	-21.69600000	2.40000000	0.00350000	-0.21420000	0.97680000	658.29000000	541.01000000	64.00000000	57.00000000	66.00000000	58.00000000	613.14000000	610.67000000	719.67000000	613.08000000
42	32.04000000	-1.93800000	-24.78600000	2.36000000	-0.03900000	-0.21400000	0.97610000	-34.83900000	-0.16200000	-21.69700000	2.44000000	0.00140000	-0.21420000	0.97680000	659.61000000	540.55000000	65.00000000	58.00000000	66.00000000	60.00000000	613.48000000	610.99000000	722.07000000	613.08000000
